DATE,OPEN,HIGH,LOW,CLOSE,VOL
09/30 14:15,20850,20850,20800,20820,123961
09/30 14:10,20840,20870,20830,20850,71952
09/30 14:05,20870,20870,20810,20830,134367
09/30 14:00,20850,20880,20850,20870,126775
09/30 13:55,20870,20880,20850,20870,140344
09/30 13:50,20910,20910,20860,20860,53182
09/30 13:45,20920,20920,20890,20910,58400
09/30 13:40,20920,20920,20900,20920,53266
09/30 13:35,20890,20940,20870,20920,209624
09/30 13:30,20840,20900,20830,20900,112125
09/30 13:25,20880,20880,20820,20840,153811
09/30 13:20,20900,20910,20860,20870,182572
09/30 13:15,20920,20930,20900,20900,97521
09/30 13:10,20980,20980,20900,20920,405140
09/30 13:05,20990,21000,20970,20990,136102
09/30 13:00,21010,21020,20980,20990,122557
09/30 12:55,21020,21030,21000,21010,87876
09/30 12:50,21020,21030,20990,21020,79618
09/30 12:45,20990,21040,20980,21020,174977
09/30 12:40,20990,21010,20970,20990,242202
09/30 12:35,21030,21070,20970,21000,676845
09/30 11:35,21250,21250,21250,21250,6438
09/30 11:30,21250,21270,21250,21260,76642
09/30 11:25,21280,21280,21240,21250,25816
09/30 11:20,21240,21300,21240,21270,93990
09/30 11:15,21240,21240,21220,21240,15044
09/30 11:10,21230,21240,21230,21240,15088
09/30 11:05,21230,21240,21220,21230,15577
09/30 11:00,21230,21240,21220,21240,23338
09/30 10:55,21210,21250,21210,21220,39878
09/30 10:50,21210,21230,21210,21210,25340
09/30 10:45,21230,21230,21210,21220,21718
09/30 10:40,21200,21230,21190,21230,31021
09/30 10:35,21250,21250,21190,21200,55234
09/30 10:30,21230,21250,21230,21250,37799
09/30 10:25,21250,21250,21230,21240,55358
09/30 10:20,21180,21250,21180,21240,124047
09/30 10:15,21180,21190,21170,21180,24206
09/30 10:10,21210,21220,21170,21180,49996
09/30 10:05,21200,21230,21200,21210,46679
09/30 10:00,21200,21220,21190,21190,48210
09/30 09:55,21190,21210,21170,21200,42705
09/30 09:50,21180,21200,21170,21190,36125
09/30 09:45,21200,21210,21160,21180,82746
09/30 09:40,21200,21220,21180,21190,57614
09/30 09:35,21220,21220,21140,21200,197606
09/30 09:30,21230,21250,21210,21220,48081
09/30 09:25,21270,21270,21220,21230,59739
09/30 09:20,21250,21290,21250,21260,126662
09/30 09:15,21240,21250,21220,21250,72698
09/30 09:10,21250,21260,21230,21230,149121
09/30 09:05,21220,21270,21180,21260,315559
09/29 15:01,21330,21340,21330,21330,74771
09/29 15:00,21320,21360,21320,21340,127189
09/29 14:55,21290,21330,21280,21320,130742
09/29 14:50,21240,21300,21240,21280,177810
09/29 14:45,21300,21300,21230,21250,246280
09/29 14:40,21320,21330,21300,21310,125851
09/29 14:35,21350,21360,21310,21320,74900
09/29 14:30,21350,21400,21330,21350,111488
09/29 14:25,21370,21400,21340,21340,140722
09/29 14:20,21440,21440,21330,21370,234029
09/29 14:15,21440,21450,21430,21430,37650
09/29 14:10,21450,21450,21420,21440,67232
09/29 14:05,21420,21460,21400,21450,127650
09/29 14:00,21390,21430,21390,21420,91942
09/29 13:55,21400,21410,21380,21390,65995
09/29 13:50,21360,21410,21340,21400,244244
09/29 13:45,21360,21380,21340,21360,229531
09/29 13:40,21350,21390,21350,21360,95862
09/29 13:35,21360,21370,21340,21350,102590
09/29 13:30,21330,21360,21310,21350,74521
09/29 13:25,21310,21340,21300,21330,74736
09/29 13:20,21320,21330,21300,21320,47899
09/29 13:15,21250,21310,21240,21310,167183
09/29 13:10,21260,21260,21240,21250,63529
09/29 13:05,21240,21270,21230,21260,100732
09/29 13:00,21210,21240,21210,21230,62120
09/29 12:55,21210,21230,21200,21210,51680
09/29 12:50,21220,21230,21200,21200,63776
09/29 12:45,21190,21230,21180,21220,117777
09/29 12:40,21140,21190,21140,21180,64893
09/29 12:35,21160,21160,21130,21140,169647
09/29 11:35,21190,21190,21180,21180,14260
09/29 11:30,21170,21210,21170,21180,152020
09/29 11:25,21160,21170,21160,21170,39258
09/29 11:20,21190,21190,21160,21170,49517
09/29 11:15,21130,21200,21130,21190,243680
09/29 11:10,21100,21140,21100,21130,241397
09/29 11:05,21080,21100,21070,21100,97614
09/29 11:00,21050,21090,21050,21080,66110
09/29 10:55,21030,21060,21030,21050,32111
09/29 10:50,21030,21040,21030,21030,29791
09/29 10:45,21050,21050,21030,21040,11516
09/29 10:40,21020,21050,21020,21050,56921
09/29 10:35,21030,21040,21020,21030,34249
09/29 10:30,21030,21050,21020,21040,41293
09/29 10:25,21010,21050,21010,21040,40963
09/29 10:20,21050,21050,21000,21010,55625
09/29 10:15,21060,21070,21040,21050,37329
09/29 10:10,21060,21070,21040,21060,48985
09/29 10:05,21030,21070,21020,21050,179238
09/29 10:00,20990,21020,20990,21020,95271
09/29 09:55,21020,21020,20990,21000,43674
09/29 09:50,21020,21020,21000,21020,45020
09/29 09:45,21030,21040,21010,21010,98003
09/29 09:40,20990,21040,20990,21040,80828
09/29 09:35,21000,21010,20990,20990,57328
09/29 09:30,21000,21020,21000,21000,40185
09/29 09:25,21010,21020,20980,20990,105481
09/29 09:20,21020,21030,20990,21010,106901
09/29 09:15,21010,21040,21000,21020,107840
09/29 09:10,21010,21030,20990,21010,133576
09/29 09:05,21080,21100,20990,21010,444903
09/28 15:01,20960,20980,20960,20980,70998
09/28 15:00,20890,20970,20890,20950,256083
09/28 14:55,20860,20910,20860,20900,345800
09/28 14:50,20840,20860,20830,20850,169270
09/28 14:45,20820,20840,20810,20840,164499
09/28 14:40,20830,20840,20810,20820,187998
09/28 14:35,20830,20840,20820,20840,59041
09/28 14:30,20840,20850,20820,20840,142983
09/28 14:25,20780,20840,20780,20830,237737
09/28 14:20,20770,20780,20770,20780,171681
09/28 14:15,20760,20780,20760,20770,63081
09/28 14:10,20740,20770,20740,20760,118006
09/28 14:05,20730,20740,20720,20740,31673
09/28 14:00,20730,20740,20720,20720,29067
09/28 13:55,20720,20740,20720,20730,10862
09/28 13:50,20720,20740,20720,20730,32677
09/28 13:45,20710,20720,20700,20710,39007
09/28 13:40,20750,20750,20710,20710,37712
09/28 13:35,20760,20760,20740,20750,14216
09/28 13:30,20750,20760,20750,20750,16878
09/28 13:25,20760,20770,20750,20760,27991
09/28 13:20,20760,20760,20760,20760,2761
09/28 13:15,20760,20760,20750,20760,25375
09/28 13:10,20760,20770,20760,20770,11691
09/28 13:05,20760,20770,20760,20760,15193
09/28 13:00,20770,20780,20760,20770,10243
09/28 12:55,20770,20790,20770,20780,35631
09/28 12:50,20760,20780,20760,20770,32906
09/28 12:45,20770,20770,20760,20770,22351
09/28 12:40,20760,20780,20760,20760,22043
09/28 12:35,20770,20770,20750,20760,63456
09/28 11:35,20780,20780,20780,20780,4404
09/28 11:30,20780,20800,20780,20790,81301
09/28 11:25,20770,20780,20760,20780,29718
09/28 11:20,20760,20770,20760,20760,6174
09/28 11:15,20780,20780,20770,20770,26528
09/28 11:10,20780,20780,20760,20770,16852
09/28 11:05,20770,20790,20760,20770,39488
09/28 11:00,20760,20780,20750,20770,90355
09/28 10:55,20760,20790,20760,20760,148423
09/28 10:50,20760,20770,20750,20770,45901
09/28 10:45,20730,20760,20730,20760,144026
09/28 10:40,20720,20730,20720,20730,21643
09/28 10:35,20730,20740,20720,20720,139098
09/28 10:30,20740,20750,20730,20730,156225
